"","UserID","Gender","Poker_Sell","Poker_Buy","Profit_Poker","Recency_Poker","Continent"
"1",1324355,"Male",30.83,8.26,22.57,108,"Europe"
"2",1324368,"Male",9161.66,9620.81,-459.15,124,"Europe"
"3",1324369,"Male",0.29,0.29,0,212,"Asia"
"4",1324372,"Male",860.78,918.41,-57.63,0,"Europe"
"5",1324377,"Male",27.55,12.99,14.56,242,"Europe"
"6",1324379,"Male",0.96,0.88,0.08,164,"Europe"
"7",1324383,"Male",12102.97,12223.1,-120.130000000001,87,"Europe"
"8",1324418,"Male",0.43,0,0,0,"Asia"
"9",1324437,"Male",21.11,22.13,-1.02,12,"Asia"
"10",1324446,"Male",74.21,38.41,35.8,230,"Asia"
"11",1324466,"Male",120.44,108.73,11.71,93,"Europe"
"12",1324509,"Male",24.6,0,0,0,"Europe"
"13",1324573,"Male",1.06,0.24,0.82,109,"Europe"
"14",1324602,"Male",82.75,42.67,40.08,237,"Europe"
"15",1324617,"Male",11,0.25,10.75,241,"Europe"
"16",1324675,"Male",40.32,30.36,9.96,242,"Europe"
"17",1324724,"Male",12497.52,10491.63,2005.89,0,"Europe"
"18",1324742,"Female",224973.29,229050.21,-4076.91999999998,1,"Europe"
"19",1324820,"Male",9393.17,5767.79,3625.38,7,"Europe"
"20",1324851,"Male",45.42,24.23,21.19,206,"Europe"
"21",1324854,"Male",933.56,881.51,52.05,0,"Europe"
"22",1324858,"Male",8002.81,2947.53,5055.28,13,"Europe"
"23",1324861,"Male",1593.98,870.44,723.54,81,"Asia"
"24",1324991,"Female",140.57,65.91,74.66,193,"Asia"
"25",1325011,"Male",20.83,0,0,0,"Europe"
"26",1325106,"Male",7593.35,7980.76,-387.41,0,"Europe"
"27",1325126,"Male",188.93,115.74,73.19,69,"Europe"
"28",1325170,"Male",74.9,52.83,22.07,215,"Europe"
"29",1325189,"Male",32000.45,30598.2,1402.25,98,"Europe"
"30",1325200,"Male",8.67,8.67,0,68,"Asia"
"31",1325300,"Male",145.6,47.16,98.44,199,"Europe"
"32",1325318,"Male",75.58,54.86,20.72,31,"Europe"
"33",1325350,"Male",11266.84,10390.62,876.219999999999,2,"Europe"
"34",1325353,"Male",3985.35,3061.13,924.22,12,"Europe"
"35",1325367,"Male",0.16,0.16,0,181,"Asia"
"36",1325381,"Female",46.61,42.11,4.5,95,"Europe"
"37",1325386,"Male",1608.71,1385.61,223.1,67,"Europe"
"38",1325408,"Male",2724,2221.51,502.49,236,"Europe"
"39",1325452,"Male",4.67,4.67,0,235,"Europe"
"40",1325453,"Male",1447.16,1205.72,241.44,32,"Europe"
"41",1325465,"Male",67.2,36.65,30.55,228,"Europe"
"42",1325478,"Male",237.25,193,44.25,167,"Europe"
"43",1325530,"Male",1937.59,1316.79,620.8,0,"Europe"
"44",1325636,"Female",1850.59,1012.97,837.62,2,"Asia"
"45",1325654,"Male",0.33,0.33,0,116,"Europe"
"46",1325666,"Male",68.44,39.48,28.96,142,"Europe"
"47",1325743,"Male",1356.38,1343.9,12.48,77,"Europe"
"48",1325816,"Male",33.52,12.13,21.39,16,"Europe"
"49",1325834,"Male",1614.91,1676.25,-61.3399999999999,0,"Europe"
"50",1325845,"Male",151,95.18,55.82,226,"Europe"
"51",1325850,"Female",706.63,127.12,579.51,229,"Asia"
"52",1325854,"Male",2232.29,1669.84,562.45,0,"Europe"
"53",1325883,"Female",458.55,376.19,82.36,56,"Europe"
"54",1325884,"Male",14.74,0,14.74,31,"Europe"
"55",1325925,"Male",30536.64,29148.14,1388.5,10,"Europe"
"56",1325927,"Male",15,10.24,4.76,237,"Europe"
"57",1325943,"Male",309.12,167.82,141.3,99,"Europe"
"58",1325944,"Male",84.67,50.69,33.98,222,"Europe"
"59",1325954,"Male",516.4,384.16,132.24,0,"Europe"
"60",1325979,"Male",107.52,29.06,78.46,232,"Europe"
"61",1326000,"Male",222.54,213.1,9.44,67,"Europe"
"62",1326037,"Male",50.42,10.54,39.88,36,"Europe"
"63",1326059,"Male",11.55,11.55,0,242,"Asia"
"64",1326116,"Male",14644.09,14771.87,-127.780000000001,0,"Europe"
"65",1326144,"Male",2.89,0.51,2.38,234,"Asia"
"66",1326147,"Male",72.19,32.42,39.77,7,"Europe"
"67",1326167,"Male",71.97,33.17,38.8,120,"Asia"
"68",1326180,"Male",0.35,0.35,0,241,"Europe"
"69",1326189,"Female",204.79,129.09,75.7,23,"Europe"
"70",1326203,"Male",1.07,1.07,0,117,"Europe"
"71",1326280,"Male",1950.68,640.85,1309.83,126,"Europe"
"72",1326286,"Male",851.14,738.92,112.22,131,"Europe"
"73",1326311,"Male",459.31,238.02,221.29,66,"Europe"
"74",1326312,"Male",113.86,16.97,96.89,227,"Europe"
"75",1326369,"Male",8.43,8.43,0,161,"Europe"
"76",1326426,"Male",20,20,0,236,"Europe"
"77",1326533,"Male",519.48,411.1,108.38,217,"Europe"
"78",1326582,"Male",3360.41,1150.91,2209.5,235,"Europe"
"79",1326617,"Male",388.8,218.53,170.27,229,"Europe"
"80",1326623,"Male",14348.62,14479.35,-130.73,1,"Europe"
"81",1326687,"Male",4722.33,2571.82,2150.51,16,"Asia"
"82",1326762,"Male",1087.81,991.56,96.25,172,"Europe"
"83",1326777,"Female",18.35,242.65,-224.3,159,"Europe"
"84",1326881,"Male",20.12,0,20.12,88,"Europe"
"85",1326939,"Male",334.07,219.67,114.4,172,"Europe"
"86",1327001,"Male",1606.12,1234.62,371.5,26,"Europe"
"87",1327015,"Male",591.5,621,-29.5,33,"Europe"
